date,slug,name_kr,name_en,gender,monthly_listeners,followers,artist_id
2026-04-20,red-velvet,레드벨벳,Red Velvet,female,6180541,,1z4g3DjTBBZKhvAroFlhOM
2026-04-20,newjeans,뉴진스,NewJeans,female,13869617,,6HvZYsbFfjnjFrWF950C9d
2026-04-20,twice,트와이스,TWICE,female,16672326,,7n2Ycct7Beij7Dj7meI4X0
2026-04-20,ive,아이브,IVE,female,7436210,,6RHTUrRF63xao58xh9FXYJ
2026-04-20,babymonster,베이비몬스터,BABYMONSTER,female,7142977,,1SIocsqdEefUTE6XKGUiVS
2026-04-20,le-sserafim,르세라핌,LE SSERAFIM,female,14394260,,4SpbR6yFEvexJuaBpgAU5p
2026-04-20,illit,아일릿,ILLIT,female,12686002,,36cgvBn0aadzOijnjjwqMN
2026-04-20,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6250564,,4GJ6xDCF5jaUqD6avOuQT6
2026-04-20,hearts2hearts,하츠투하츠,Hearts2Hearts,female,8969489,,1ZLU77nRzQIaP23mVSYpCQ
2026-04-20,bts,방탄소년단,BTS,male,45629843,,3Nrfpe0tUJi4K4DXYWgMUX
2026-04-20,stray-kids,스트레이키즈,Stray Kids,male,11016932,,2dIgFjalVxs4ThymZ67YCE
2026-04-20,txt,투모로우바이투게더,TXT,male,6767277,,0ghlgldX5Dd6720Q3qFyQB
2026-04-20,enhypen,엔하이픈,ENHYPEN,male,9930607,,5t5FqBwTcgKTaWmfEbwQY9
2026-04-20,cortis,코르티스,CORTIS,male,7061821,,1ebt9HnXdyYA6KgLXr1n4P
2026-04-27,blackpink,블랙핑크,BLACKPINK,female,23784360,,41MozSoPIsD1dJM0CLPjZF
2026-04-27,aespa,에스파,aespa,female,9574521,,6YVMFz59CuY7ngCxTxjpxE
2026-04-27,i-dle,아이들,i-dle,female,6933605,,2AfmfGFbe0A0WsTYm0SDTx
2026-04-27,red-velvet,레드벨벳,Red Velvet,female,6075478,,1z4g3DjTBBZKhvAroFlhOM
2026-04-27,newjeans,뉴진스,NewJeans,female,13756537,,6HvZYsbFfjnjFrWF950C9d
2026-04-27,twice,트와이스,TWICE,female,16361582,,7n2Ycct7Beij7Dj7meI4X0
2026-04-27,ive,아이브,IVE,female,7402572,,6RHTUrRF63xao58xh9FXYJ
2026-04-27,babymonster,베이비몬스터,BABYMONSTER,female,7162686,,1SIocsqdEefUTE6XKGUiVS
2026-04-27,le-sserafim,르세라핌,LE SSERAFIM,female,14370611,,4SpbR6yFEvexJuaBpgAU5p
2026-04-27,illit,아일릿,ILLIT,female,12527621,,36cgvBn0aadzOijnjjwqMN
2026-04-27,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6288423,,4GJ6xDCF5jaUqD6avOuQT6
2026-04-27,hearts2hearts,하츠투하츠,Hearts2Hearts,female,9149798,,1ZLU77nRzQIaP23mVSYpCQ
2026-04-27,bts,방탄소년단,BTS,male,42799490,,3Nrfpe0tUJi4K4DXYWgMUX
2026-04-27,stray-kids,스트레이키즈,Stray Kids,male,10848208,,2dIgFjalVxs4ThymZ67YCE
2026-04-27,txt,투모로우바이투게더,TXT,male,7158519,,0ghlgldX5Dd6720Q3qFyQB
2026-04-27,enhypen,엔하이픈,ENHYPEN,male,9726656,,5t5FqBwTcgKTaWmfEbwQY9
2026-04-27,cortis,코르티스,CORTIS,male,7592330,,1ebt9HnXdyYA6KgLXr1n4P
2026-05-04,blackpink,블랙핑크,BLACKPINK,female,23291465,,41MozSoPIsD1dJM0CLPjZF
2026-05-04,aespa,에스파,aespa,female,9504390,,6YVMFz59CuY7ngCxTxjpxE
2026-05-04,i-dle,아이들,i-dle,female,6951990,,2AfmfGFbe0A0WsTYm0SDTx
2026-05-04,red-velvet,레드벨벳,Red Velvet,female,6057759,,1z4g3DjTBBZKhvAroFlhOM
2026-05-04,newjeans,뉴진스,NewJeans,female,13768082,,6HvZYsbFfjnjFrWF950C9d
2026-05-04,twice,트와이스,TWICE,female,16304494,,7n2Ycct7Beij7Dj7meI4X0
2026-05-04,ive,아이브,IVE,female,7270577,,6RHTUrRF63xao58xh9FXYJ
2026-05-04,babymonster,베이비몬스터,BABYMONSTER,female,7159493,,1SIocsqdEefUTE6XKGUiVS
2026-05-04,le-sserafim,르세라핌,LE SSERAFIM,female,14724044,,4SpbR6yFEvexJuaBpgAU5p
2026-05-04,illit,아일릿,ILLIT,female,12567375,,36cgvBn0aadzOijnjjwqMN
2026-05-04,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6260997,,4GJ6xDCF5jaUqD6avOuQT6
2026-05-04,hearts2hearts,하츠투하츠,Hearts2Hearts,female,9122342,,1ZLU77nRzQIaP23mVSYpCQ
2026-05-04,bts,방탄소년단,BTS,male,40912292,,3Nrfpe0tUJi4K4DXYWgMUX
2026-05-04,stray-kids,스트레이키즈,Stray Kids,male,10560325,,2dIgFjalVxs4ThymZ67YCE
2026-05-04,txt,투모로우바이투게더,TXT,male,7321364,,0ghlgldX5Dd6720Q3qFyQB
2026-05-04,enhypen,엔하이픈,ENHYPEN,male,9637374,,5t5FqBwTcgKTaWmfEbwQY9
2026-05-04,cortis,코르티스,CORTIS,male,8726448,,1ebt9HnXdyYA6KgLXr1n4P
2026-05-11,blackpink,블랙핑크,BLACKPINK,female,22800746,,41MozSoPIsD1dJM0CLPjZF
2026-05-11,aespa,에스파,aespa,female,9512571,,6YVMFz59CuY7ngCxTxjpxE
2026-05-11,i-dle,아이들,i-dle,female,6955809,,2AfmfGFbe0A0WsTYm0SDTx
2026-05-11,red-velvet,레드벨벳,Red Velvet,female,6001736,,1z4g3DjTBBZKhvAroFlhOM
2026-05-11,newjeans,뉴진스,NewJeans,female,13725184,,6HvZYsbFfjnjFrWF950C9d
2026-05-11,twice,트와이스,TWICE,female,16213795,,7n2Ycct7Beij7Dj7meI4X0
2026-05-11,ive,아이브,IVE,female,7087679,,6RHTUrRF63xao58xh9FXYJ
2026-05-11,babymonster,베이비몬스터,BABYMONSTER,female,7591904,,1SIocsqdEefUTE6XKGUiVS
2026-05-11,le-sserafim,르세라핌,LE SSERAFIM,female,15046976,,4SpbR6yFEvexJuaBpgAU5p
2026-05-11,illit,아일릿,ILLIT,female,13137066,,36cgvBn0aadzOijnjjwqMN
2026-05-11,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6244208,,4GJ6xDCF5jaUqD6avOuQT6
2026-05-11,hearts2hearts,하츠투하츠,Hearts2Hearts,female,8972654,,1ZLU77nRzQIaP23mVSYpCQ
2026-05-11,bts,방탄소년단,BTS,male,39680837,,3Nrfpe0tUJi4K4DXYWgMUX
2026-05-11,stray-kids,스트레이키즈,Stray Kids,male,10387077,,2dIgFjalVxs4ThymZ67YCE
2026-05-11,txt,투모로우바이투게더,TXT,male,7437579,,0ghlgldX5Dd6720Q3qFyQB
2026-05-11,enhypen,엔하이픈,ENHYPEN,male,9636949,,5t5FqBwTcgKTaWmfEbwQY9
2026-05-11,cortis,코르티스,CORTIS,male,10093987,,1ebt9HnXdyYA6KgLXr1n4P
2026-05-18,blackpink,블랙핑크,BLACKPINK,female,22409995,,41MozSoPIsD1dJM0CLPjZF
2026-05-18,aespa,에스파,aespa,female,9842310,,6YVMFz59CuY7ngCxTxjpxE
2026-05-18,i-dle,아이들,i-dle,female,6977029,,2AfmfGFbe0A0WsTYm0SDTx
