date,video_id,group,title,published,views,likes,comments,is_mv,duration
2026-03-10,-bKBOQjyADc,8TURN,‘CAN'T STOP THE FEELING!’ BY HAE MIN & KYUNG MIN (2026 8TURN FANCON [TURN TABLE : ETERNAL FLAME]),2026-03-07,1411,323,17,False,247
2026-03-10,q_g7RnyWJpo,8TURN,‘Watch’ BY YUN GYU & SEUNG HEON (2026 8TURN FANCON [TURN TABLE : ETERNAL FLAME]),2026-03-06,1827,391,30,False,270
2026-03-10,fjWszKHANU8,8TURN,2026 8TURN CONCERT [ETERNAL FLAME] IN MACAO - SPOT VIDEO,2026-03-05,846,233,11,False,41
2026-03-10,jtvjZjzJ2gM,CIX,Happy BX Day🎂,2026-03-05,2581,314,23,False,2824
2026-03-10,wDN69RO3psA,EVNNE,EVNNE (이븐) 3rd Global Official Fanclub 'ENNVE' 모집 인사 영상,2026-03-09,1970,380,27,False,51
2026-03-10,4zDk31WaV-Y,NOWZ,NOWZ (나우즈) 'AMMO (feat. YRD Leo)' Choreography Practice Behind | SUB,2026-03-06,103533,313,16,False,829
2026-03-10,v7sZ2YycumM,NOWZ,NOWZ (나우즈) 'AMMO (feat. YRD Leo)' 응원법,2026-03-04,9142,276,14,False,273
2026-03-10,4W7qezZKB6g,NOWZ,NOWZ (나우즈) 'AMMO (feat. YRD Leo)' Performance Video,2026-03-03,813136,5634,243,False,210
2026-03-10,cM4sKXdpnQM,NOWZ,"막내즈가 같이 브이로그를 찍었다고? 기대 많이 된다😎 (일본 컵라면, 신칸센, 돈키호테 하울) [DAY LOG] EP.22ㅣNOWZ (나우즈)ㅣSUB",2026-03-03,9234,427,60,False,667
2026-03-10,8L0owki3rS0,AMPERS&ONE,2026 F/W SEOUL FASHION WEEK Behind l 앰퍼샌드원 (AMPERS&ONE),2026-03-08,2183,384,25,False,1232
2026-03-10,mAF3Dnc42Ks,AMPERS&ONE,와그작💥 캠든이의 젤리얼먹 ASMR🍬,2026-03-05,9207,692,56,False,812
2026-03-10,SvQ6Q8CNMPk,YOUNITE,Happy STEVE Day 🐰💚,2026-03-09,1070,0,25,False,2380
2026-03-10,fa_Wfj796g8,YOUNITE,"YOUNITE DEY (데이), 경문 (KYUNGMUN) ‘ALRIGHT (PROD. BRADLEYMOON)’",2026-03-07,955,0,19,False,132
2026-03-10,e3mbcOx9RGI,YOUNITE,YOUNIZ와 함께라 초콜릿보다 달달했던 하루🍫 | [LOVE TYPE : YOUNITE to YOUNIZ] BEHIND,2026-03-06,1101,0,16,False,907
2026-03-10,eCn_S2kHka8,82MAJOR,MAJOR LEAGUE | ep.3,2026-03-05,8376,800,72,False,1301
2026-03-10,BpU44Kd5pXE,82MAJOR,Korean & Brazilian SNACK MUKBANG with MELODY | 82MAJOR(82메이저),2026-03-03,90949,8354,391,False,1332
2026-03-10,ubjB1haQPGw,WHIB,[ENG/JPN/CN] WHIB(휘브) 1st FANCON [AnD : New Chapter] in Tokyo BEHIND,2026-03-04,4205,415,47,False,1022
2026-03-10,RTQ84-qRReM,ONF,온앤오프(ONF) OFFICIAL LOGO MOTION,2026-03-05,6286,0,167,False,16
2026-03-10,wYDje1rv-oo,ONF,온앤오프 (ONF)_사랑하게 될 거야 (We Must Love)(MV),2026-03-04,32432,0,519,True,194
2026-03-10,G8aDklH_wXI,MCND,"[Let’s Play MCND] M-HIND | 6️⃣주년 기념 셀프 사진 촬영 비하인드📸 | 지구 정복 D+2190, 그들은 Music Creates New Dream 하였는가?",2026-03-04,1036,223,21,False,523
2026-03-10,APmrnkK6sVk,xikers,박세은 등장,2026-03-04,6675,583,15,False,4916
2026-03-10,aDGtq0vaYWA,xikers,흥국생명배구단 시구🏐 BEHIND | xikers(싸이커스) 인싸이커스 #127,2026-03-03,18208,516,24,False,868
2026-03-10,FeU8m9YEVSY,NouerA,NouerA (누에라) 'POP IT LIKE' MV,2026-03-09,3832568,3549,580,True,173
2026-03-10,Kp28Ca0xnwk,NouerA,[NouerA] 누에라의 틈에라 Ep.10 🎁,2026-03-08,4173,586,53,False,1720
2026-03-10,swubc9U-Wgs,NouerA,NouerA (누에라) 'POP IT LIKE' MV TEASER #2,2026-03-06,60294,611,47,True,19
2026-03-10,fWofTs302FM,NouerA,[NouerA] 🙌CHROMOSOME Countdown Show Behind🙌  | 📎NouerA_Clip,2026-03-05,2574,399,36,False,1294
2026-03-10,iiuRF8cDUIY,NouerA,NouerA (누에라) 'POP IT LIKE' MV TEASER #1,2026-03-03,91515,807,80,True,20
2026-03-10,0dtMGfq0LPw,DKB,'imase - NIGHT DANCER(BIG Naughty Remix)' Cover by JUNSEO & XIWOO,2026-03-06,6913,0,100,False,209
